scenario_id,timestamp,outage_line_count,disconnected_load_count
89,2024-09-01 03:00:00,3,3
89,2024-09-01 04:00:00,0,0
89,2024-09-01 05:00:00,0,0
90,2024-09-01 00:00:00,15,4
90,2024-09-01 01:00:00,1,0
90,2024-09-01 02:00:00,0,0
90,2024-09-01 03:00:00,3,3
90,2024-09-01 04:00:00,0,0
90,2024-09-01 05:00:00,0,0
91,2024-09-01 00:00:00,15,4
91,2024-09-01 01:00:00,1,0
91,2024-09-01 02:00:00,0,0
91,2024-09-01 03:00:00,3,3
91,2024-09-01 04:00:00,0,0
91,2024-09-01 05:00:00,0,0
92,2024-09-01 00:00:00,15,4
92,2024-09-01 01:00:00,1,0
92,2024-09-01 02:00:00,0,0
92,2024-09-01 03:00:00,3,3
92,2024-09-01 04:00:00,0,0
92,2024-09-01 05:00:00,0,0
93,2024-09-01 00:00:00,15,4
93,2024-09-01 01:00:00,1,0
93,2024-09-01 02:00:00,0,0
93,2024-09-01 03:00:00,2,2
93,2024-09-01 04:00:00,0,0
93,2024-09-01 05:00:00,0,0
94,2024-09-01 00:00:00,15,4
94,2024-09-01 01:00:00,1,0
94,2024-09-01 02:00:00,0,0
94,2024-09-01 03:00:00,3,3
94,2024-09-01 04:00:00,0,0
94,2024-09-01 05:00:00,0,0
95,2024-09-01 00:00:00,15,4
95,2024-09-01 01:00:00,1,0
95,2024-09-01 02:00:00,0,0
95,2024-09-01 03:00:00,2,2
95,2024-09-01 04:00:00,0,0
95,2024-09-01 05:00:00,0,0
96,2024-09-01 00:00:00,15,4
96,2024-09-01 01:00:00,1,0
96,2024-09-01 02:00:00,0,0
96,2024-09-01 03:00:00,3,3
96,2024-09-01 04:00:00,0,0
96,2024-09-01 05:00:00,0,0
97,2024-09-01 00:00:00,15,4
97,2024-09-01 01:00:00,1,0
97,2024-09-01 02:00:00,0,0
97,2024-09-01 03:00:00,3,3
97,2024-09-01 04:00:00,0,0
97,2024-09-01 05:00:00,0,0
98,2024-09-01 00:00:00,15,4
98,2024-09-01 01:00:00,1,0
98,2024-09-01 02:00:00,0,0
98,2024-09-01 03:00:00,3,3
98,2024-09-01 04:00:00,0,0
98,2024-09-01 05:00:00,0,0
99,2024-09-01 00:00:00,15,4
99,2024-09-01 01:00:00,1,0
99,2024-09-01 02:00:00,0,0
99,2024-09-01 03:00:00,3,3
99,2024-09-01 04:00:00,0,0
99,2024-09-01 05:00:00,0,0
100,2024-09-01 00:00:00,15,4
100,2024-09-01 01:00:00,1,0
100,2024-09-01 02:00:00,0,0
100,2024-09-01 03:00:00,3,3
100,2024-09-01 04:00:00,0,0
100,2024-09-01 05:00:00,0,0
101,2024-09-01 00:00:00,15,4
101,2024-09-01 01:00:00,1,0
101,2024-09-01 02:00:00,0,0
101,2024-09-01 03:00:00,2,2
101,2024-09-01 04:00:00,0,0
101,2024-09-01 05:00:00,0,0
102,2024-09-01 00:00:00,15,4
102,2024-09-01 01:00:00,1,0
102,2024-09-01 02:00:00,0,0
102,2024-09-01 03:00:00,2,2
102,2024-09-01 04:00:00,0,0
102,2024-09-01 05:00:00,0,0
103,2024-09-01 00:00:00,15,4
103,2024-09-01 01:00:00,2,0
103,2024-09-01 02:00:00,0,0
103,2024-09-01 03:00:00,2,2
103,2024-09-01 04:00:00,0,0
103,2024-09-01 05:00:00,0,0
104,2024-09-01 00:00:00,15,4
104,2024-09-01 01:00:00,2,0
104,2024-09-01 02:00:00,0,0
104,2024-09-01 03:00:00,3,3
104,2024-09-01 04:00:00,0,0
104,2024-09-01 05:00:00,0,0
105,2024-09-01 00:00:00,15,4
105,2024-09-01 01:00:00,2,0
105,2024-09-01 02:00:00,0,0
105,2024-09-01 03:00:00,3,3
105,2024-09-01 04:00:00,0,0
105,2024-09-01 05:00:00,0,0
106,2024-09-01 00:00:00,15,4
106,2024-09-01 01:00:00,1,0
106,2024-09-01 02:00:00,0,0
106,2024-09-01 03:00:00,2,2
106,2024-09-01 04:00:00,0,0
106,2024-09-01 05:00:00,0,0
107,2024-09-01 00:00:00,15,4
107,2024-09-01 01:00:00,1,0
107,2024-09-01 02:00:00,0,0
107,2024-09-01 03:00:00,3,3
107,2024-09-01 04:00:00,0,0
107,2024-09-01 05:00:00,0,0
108,2024-09-01 00:00:00,15,4
108,2024-09-01 01:00:00,1,0
108,2024-09-01 02:00:00,0,0
108,2024-09-01 03:00:00,3,3
108,2024-09-01 04:00:00,0,0
108,2024-09-01 05:00:00,0,0
109,2024-09-01 00:00:00,15,4
109,2024-09-01 01:00:00,1,0
109,2024-09-01 02:00:00,0,0
109,2024-09-01 03:00:00,3,3
109,2024-09-01 04:00:00,0,0
109,2024-09-01 05:00:00,0,0
110,2024-09-01 00:00:00,15,4
110,2024-09-01 01:00:00,1,0
110,2024-09-01 02:00:00,0,0
110,2024-09-01 03:00:00,3,3
110,2024-09-01 04:00:00,0,0
110,2024-09-01 05:00:00,0,0
111,2024-09-01 00:00:00,15,4
111,2024-09-01 01:00:00,1,0
111,2024-09-01 02:00:00,0,0
111,2024-09-01 03:00:00,2,2
111,2024-09-01 04:00:00,0,0
111,2024-09-01 05:00:00,0,0
112,2024-09-01 00:00:00,15,4
112,2024-09-01 01:00:00,2,0
112,2024-09-01 02:00:00,0,0
112,2024-09-01 03:00:00,3,3
112,2024-09-01 04:00:00,0,0
112,2024-09-01 05:00:00,0,0
113,2024-09-01 00:00:00,15,4
113,2024-09-01 01:00:00,2,0
113,2024-09-01 02:00:00,0,0
113,2024-09-01 03:00:00,3,3
113,2024-09-01 04:00:00,0,0
113,2024-09-01 05:00:00,0,0
114,2024-09-01 00:00:00,15,4
114,2024-09-01 01:00:00,1,0
114,2024-09-01 02:00:00,0,0
114,2024-09-01 03:00:00,3,3
114,2024-09-01 04:00:00,0,0
114,2024-09-01 05:00:00,0,0
115,2024-09-01 00:00:00,15,4
115,2024-09-01 01:00:00,1,0
115,2024-09-01 02:00:00,0,0
115,2024-09-01 03:00:00,3,3
115,2024-09-01 04:00:00,0,0
115,2024-09-01 05:00:00,0,0
116,2024-09-01 00:00:00,15,4
116,2024-09-01 01:00:00,1,0
116,2024-09-01 02:00:00,0,0
116,2024-09-01 03:00:00,3,3
116,2024-09-01 04:00:00,0,0
116,2024-09-01 05:00:00,0,0
117,2024-09-01 00:00:00,15,4
117,2024-09-01 01:00:00,1,0
117,2024-09-01 02:00:00,0,0
117,2024-09-01 03:00:00,2,2
117,2024-09-01 04:00:00,0,0
117,2024-09-01 05:00:00,0,0
118,2024-09-01 00:00:00,15,4
118,2024-09-01 01:00:00,1,0
118,2024-09-01 02:00:00,0,0
118,2024-09-01 03:00:00,3,3
118,2024-09-01 04:00:00,0,0
